Rank,Country,Average IQ,Continent,Literacy Rate,Nobel Prizes,HDI (2021),Mean years of schooling - 2021,GNI - 2021,Population - 2023
1,Japan,106.48,Asia,0.99,29,0.925,13.4,42274,123294513
2,Singapore,105.89,Asia,0.97,0,0.939,11.9,90919,6014723
3,Hong Kong,105.37,Asia,0.94,1,0.952,12.2,62607,7491609
4,China,104.1,Asia,0.96,8,0.768,7.6,17504,1425671352
5,South Korea,102.35,Asia,0.98,0,0.925,12.5,44501,51784059
6,Belarus,101.6,Europe,1,2,0.808,12.1,18849,9498238
7,Finland,101.2,Europe,1,5,0.94,12.9,49452,5545475
8,Liechtenstein,101.07,Europe,1,0,0.935,12.5,146830,39315
9,Germany,100.74,Europe,0.99,111,0.942,14.1,54534,83294633
10,Netherlands,100.74,Europe,0.99,22,0.941,12.6,55979,17618299
11,Estonia,100.72,Europe,1,0,0.89,13.5,38048,1322766
12,Luxembourg,99.87,Europe,1,2,0.93,13,84649,654.768
13,Cambodia,99.75,Asia,0.78,0,0.593,5.1,4079,16944826
14,Canada,99.52,North America,0.99,28,0.936,13.8,46808,38781292
15,Switzerland,99.24,Europe,0.99,27,0.962,13.9,66933,8796669
16,Australia,99.24,Oceania,0.99,12,0.951,12.7,49238,26439112
17,Hungary,99.24,Europe,0.99,13,0.846,12.2,32789,10156239
18,United Kingdom,99.12,Europe,0.99,137,0.929,13.4,45225,67736802
19,Slovenia,98.6,Europe,1,1,0.918,12.8,39746,2119675
20,New Zealand,98.57,Oceania,0.99,3,0.937,12.9,44057,5228100
21,Austria,98.38,Europe,0.98,22,0.916,12.3,53619,8958961
22,Iceland,98.26,Europe,0.99,1,0.959,13.8,55782,375.319
23,Denmark,97.83,Europe,0.99,13,0.948,13,60365,5910913
24,Belgium,97.49,Europe,0.99,11,0.937,12.4,52293,11686140
25,United States,97.43,North America,0.99,400,0.921,13.7,64765,339996564
26,Norway,97.13,Europe,1,13,0.961,13,64660,5474360
27,Sweden,97,Europe,0.99,32,0.947,12.6,54489,10612086
28,France,96.69,Europe,0.99,71,0.903,11.6,45937,64756584
29,Poland,96.35,Europe,1,19,0.876,13.2,33034,41026068
30,Slovakia,96.32,Europe,1,0,0.848,12.9,30690,5795199
31,Russia,96.29,Asia,1,0,0.822,12.8,27166,144444359
32,Lithuania,95.89,Europe,1,3,0.875,13.5,37931,2718352
33,Croatia,95.75,Europe,0.99,2,0.858,12.2,30132,4008617
34,Andorra,95.2,Europe,1,0,0.858,10.6,51167,76.965
35,Ireland,95.13,Europe,0.99,11,0.945,11.6,76169,5056935
36,Czech republic,94.92,Europe,0.99,6,0.889,12.9,38745,10495295
37,Latvia,94.79,Europe,1,1,0.863,13.3,32803,1830212
38,Italy,94.23,Europe,0.99,21,0.895,10.7,42840,58870763
39,Vanuatu,93.92,Oceania,0.85,0,0.607,7.1,3085,334.506
40,Spain,93.9,Europe,0.98,8,0.905,10.6,38354,47519628
41,Cyprus,93.39,Europe,0.99,1,0.896,12.4,38188,1260138
42,Portugal,92.77,Europe,0.95,2,0.866,9.6,33155,10247605
43,Israel,92.43,Asia,0.97,13,0.919,13.3,41524,9174520
44,Barbados,91.6,Central America,1,0,0.79,9.9,12306,281.996
45,Malta,91.27,Europe,0.94,0,0.918,12.2,38884,535.065
46,Myanmar,91.18,Asia,0.93,1,0.585,6.4,3851,54577997
47,Mongolia,91.03,Asia,0.98,0,0.739,9.4,10588,3447157
48,Bulgaria,90.99,Europe,0.98,1,0.795,11.4,23079,6687717
49,Greece,90.77,Europe,0.95,2,0.887,11.4,29002,10341277
50,Suriname,90.29,South America,0.96,0,0.73,9.8,12672,623.237
51,Ukraine,90.07,Europe,1,6,0.773,11.1,13256,36744634
52,Moldavia,89.98,Europe,0.99,0,0.767,11.8,14875,3435931
53,Serbia,89.6,Europe,0.98,0,0.802,11.4,19123,7149077
54,Vietnam,89.53,Asia,0.95,1,0.703,8.4,7867,98858950
55,Iraq,89.28,Asia,0.8,1,0.686,7.9,9977,45504560
56,Uzbekistan,89.01,Asia,1,0,0.727,11.9,7917,35163944
57,Kazakhstan,88.89,Asia,1,0,0.811,12.3,23943,19606634
58,Thailand,88.87,Asia,0.94,0,0.8,8.7,17030,71801279
59,Armenia,88.82,Asia,1,0,0.759,11.3,13158,2777971
60,Bosnia and Herzegovina,88.54,Europe,0.98,2,0.78,10.5,15242,3210848
61,Costa Rica,88.34,Central America,0.98,1,0.809,8.8,19974,5212173
62,Bhutan,87.94,Asia,0.64,0,0.666,5.2,9438,787.425
63,Chile,87.89,South America,0.97,2,0.855,10.9,24563,19629590
64,Mexico,87.73,North America,0.95,3,0.758,9.2,17896,128455567
65,Tajikistan,87.71,Asia,1,0,0.685,11.3,4548,10143543
66,Uruguay,87.59,South America,0.98,0,0.809,9,21269,3423109
67,Brunei,87.58,Asia,0.97,0,0.829,9.2,64490,452.524
68,Malaysia,87.58,Asia,0.95,0,0.803,10.6,26658,34308525
69,Bahamas,86.99,Central America,0.96,0,0.812,12.6,30486,412.624
70,Romania,86.88,Europe,0.99,5,0.821,11.3,30027,19892812
71,Turkey,86.8,Asia,0.96,2,0.838,8.6,31033,85816199
72,Argentina,86.63,South America,0.98,5,0.842,11.1,20925,45773884
73,Sri Lanka,86.62,Asia,0.93,0,0.782,10.8,12578,21893579
74,Mauritius,86.56,Africa,0.91,0,0.802,10.4,22025,1300557
75,Turkmenistan,85.86,Asia,1,0,0.745,11.3,13021,6516100
76,Montenegro,85.78,Europe,0.99,0,0.832,12.2,20839,626.485
77,Trinidad and Tobago,85.63,Central America,0.99,1,0.81,11.6,23392,1534937
78,Azerbaijan,84.81,Asia,1,1,0.745,10.5,14257,10412652
79,Georgia,84.5,Europe,1,0,0.802,12.8,14664,3728282
80,Paraguay,84.04,South America,0.96,0,0.717,8.9,12349,6861524
81,Fiji,83.96,Oceania,0.94,0,0.73,10.9,9980,936.375
82,Marshall Islands,83.96,Oceania,0.98,0,0.639,10.9,4620,41.996
83,Federated States of Micronesia,83.96,Oceania,0.89,0,0.628,7.8,3696,115.224
84,Solomon Islands,83.96,Oceania,0.84,0,0.564,5.7,2482,740.425
85,Cuba,83.9,Central America,1,0,0.764,12.5,7879,11194449
86,Bahrain,83.6,Asia,0.96,0,0.875,11,39497,1485510
87,Brazil,83.38,South America,0.93,0,0.754,8.1,14370,216422446
88,Guyana,83.23,South America,0.88,0,0.714,8.6,22465,813.834
89,Colombia,83.13,South America,0.95,2,0.752,8.9,14384,52085168
90,Venezuela,82.99,South America,0.95,1,0.691,11.1,4811,28838499
91,Afghanistan,82.12,Asia,0.38,0,0.478,3,1824,42239854
92,Haiti,82.1,Central America,0.61,0,0.535,5.6,2848,11724764
93,United Arab Emirates,82.05,Asia,0.93,0,0.911,12.7,62574,9516871
94,Dominican Republic,82.05,Central America,0.92,0,0.767,9.3,17990,11332973
95,North Macedonia,81.91,Europe,0.98,0,0.77,10.2,15918,2085679
96,Albania,81.75,Europe,0.98,0,0.796,11.3,14131,2832439
97,Lebanon,81.7,Asia,0.94,0,0.706,8.7,9526,5353930
98,Philippines,81.64,Asia,0.97,1,0.699,9,8920,117337368
99,Peru,81.44,South America,0.94,1,0.762,9.9,12246,34352719
100,Laos,80.99,Asia,0.8,0,0.607,5.4,7700,7633779
101,Libya,80.92,Africa,0.91,0,0.718,7.6,15336,6888388
102,Qatar,80.78,Asia,0.98,0,0.855,10,87134,2716391
103,Jordan,80.7,Asia,0.98,0,0.72,10.4,9924,11337053
104,Maldives,80.54,Asia,0.99,0,0.747,7.3,15448,521.022
105,Iran,80.01,Asia,0.87,1,0.774,10.6,13001,89172767
106,Pakistan,80,Asia,0.56,2,0.544,4.5,4624,240485658
107,Grenade,79.34,Central America,0.96,0,0.795,9,13484,126.184
108,Tunisia,79.22,Africa,0.81,1,0.731,7.4,10258,12458223
109,Kyrgyzstan,79.09,Asia,0.99,0,0.692,11.4,4566,6735348
110,Panama,79,Central America,0.95,0,0.805,10.5,26957,4468087
111,Sudan,78.87,Africa,0.59,0,0.508,3.8,3575,48109006
112,Chad,78.87,Africa,0.4,0,0.394,2.6,1364,18278568
113,Seychelles,78.76,Africa,0.95,0,0.785,10.3,25831,107.66
114,Oman,78.7,Asia,0.94,0,0.816,11.7,27054,4644384
115,Kuwait,78.64,Asia,0.96,0,0.831,7.3,52920,4310108
116,Indonesia,78.49,Asia,0.95,0,0.705,8.6,11466,277534123
117,Papua New Guinea,78.49,Oceania,0.63,0,0.558,4.7,4009,10329931
118,Ecuador,78.26,South America,0.95,0,0.74,8.8,10312,18190484
119,Palestine,77.69,Asia,0.97,1,0.715,9.9,6583,5040000
120,Senegal,77.37,Africa,0.56,0,0.511,2.9,3344,17763163
121,Comoros,77.07,Africa,0.78,0,0.558,5.1,3142,852.075
122,Madagascar,76.79,Africa,0.65,0,0.501,5.1,1484,30325732
123,Bolivia,76.53,South America,0.95,0,0.692,9.8,8111,12388571
124,Uganda,76.42,Africa,0.74,0,0.525,5.7,2181,48582334
125,Saudi Arabia,76.36,Asia,0.95,0,0.875,11.3,46112,36947025
126,Egypt,76.32,Africa,0.76,4,0.731,9.6,11732,112716599
127,India,76.24,Asia,0.72,12,0.633,6.7,6590,1428627663
128,Algeria,76,Africa,0.8,2,0.745,8.1,10800,45606481
129,Kenya,75.2,Africa,0.78,1,0.575,6.7,4474,55100587
130,Angola,75.1,Africa,0.71,0,0.586,5.4,5466,36684203
131,Jamaica,75.08,Central America,0.89,0,0.709,9.2,8834,2825544
132,Tanzania,74.95,Africa,0.8,1,0.549,6.4,2664,67438106
133,Syria,74.41,Asia,0.86,0,0.577,5.1,4192,23227014
134,Bangladesh,74.33,Asia,0.61,2,0.661,7.4,5472,172954319
135,Zimbabwe,74.01,Africa,0.87,0,0.593,8.7,3810,16665409
136,Burkina Faso,73.8,Africa,0.38,0,0.449,2.1,2118,23251485
137,Saint Lucia,73.68,Central America,0.9,2,0.715,8.5,12048,180.251
138,Mozambique,72.5,Africa,0.59,0,0.446,3.2,1198,33897354
139,Burundi,72.09,Africa,0.85,0,0.426,3.1,732,13238559
140,Niger,70.82,Africa,0.19,0,0.4,2.1,1240,27202843
141,Antigua and Barbuda,70.48,Central America,0.99,0,0.788,9.3,16792,94.298
142,Rwanda,69.95,Africa,0.71,0,0.534,4.4,2210,14094683
143,Benin,69.71,Africa,0.38,0,0.525,4.3,3409,13712828
144,Malawi,69.7,Africa,0.66,0,0.512,4.5,1466,20931751
145,El Salvador,69.63,Central America,0.88,0,0.675,7.2,8296,6364943
146,Botswana,69.45,Africa,0.88,0,0.693,10.3,16198,2675353
147,South Africa,68.87,Africa,0.95,11,0.713,11.4,12948,60414495
148,Eswatini,68.87,Africa,0.87,0,0.597,5.6,7679,1210822
149,Lesotho,68.87,Africa,0.79,0,0.514,6,2700,2330318
150,Eritrea,68.77,Africa,0.74,0,0.492,4.9,1729,3748902
151,Zambia,68.43,Africa,0.85,0,0.565,7.2,3218,20569738
152,Ethiopia,68.42,Africa,0.49,1,0.498,3.2,2361,126527060
153,Djibouti,68.41,Africa,0.68,0,0.509,4.1,5025,1136455
154,Cameroon,67.76,Africa,0.75,0,0.576,6.2,3621,28647293
155,Nigeria,67.76,Africa,0.6,1,0.535,7.2,4790,223804632
156,Morocco,67.03,Africa,0.72,1,0.683,5.9,7303,37840044
157,Namibia,66.19,Africa,0.91,0,0.615,7.2,8634,2604172
158,Dominica,66.03,Central America,0.94,0,0.72,8.1,11488,73.161
159,Sao Tome and Principe,65.22,Africa,0.92,0,0.618,6.2,4021,231.856
160,Congo,64.92,Africa,0.77,0,0.571,6.2,2889,6106869
161,Saint Vincent and the Grenadines,63.42,Central America,0.96,0,0.751,10.8,11961,103.699
162,Gabon,62.97,Africa,0.83,0,0.706,9.4,13367,2436567
163,Congo Republic,62.97,Africa,0.79,0,0.479,7,1076,102262809
164,Yemen,62.86,Asia,0.7,1,0.455,3.2,1314,34449825
165,Belize,62.55,Central America,0.83,0,0.683,8.8,6309,410.825
166,Central African Republic,62.55,Africa,0.37,0,0.404,4.3,966,5742316
167,Honduras,62.16,Central America,0.88,0,0.621,7.1,5298,10593798
168,Togo,59.83,Africa,0.67,0,0.539,5,2167,9053799
169,Mauritania,59.76,Africa,0.52,0,0.556,4.9,5075,4862989
170,Mali,59.76,Africa,0.33,0,0.428,2.3,2133,23293699
171,South Sudan,58.61,Africa,0.32,0,0.385,5.7,768,11088796
172,Ghana,58.16,Africa,0.77,1,0.632,8.3,5745,34121985
173,Guinea,53.48,Africa,0.3,0,0.465,2.2,2481,14190612
174,Nicaragua,52.69,Central America,0.82,0,0.667,7.1,5625,7046311
175,Gambia,52.68,Africa,0.58,0,0.5,4.6,2172,2773168
176,Guatemala,47.72,Central America,0.79,2,0.627,5.7,8723,18092026
177,Liberia,45.07,Africa,0.48,2,0.481,5.1,1289,5418377
178,Sierra Leone,45.07,Africa,0.48,0,0.477,4.6,1622,8791092
179,Nepal,42.99,Asia,0.65,0,0.602,5.1,3877,30896590
